ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
LogisticRegression,0.8055358410220014,0.8418610659019866,0.6572327044025157,0.5588235294117647,0.6040462427745664,0.4790341208187829
DecisionTree,0.7288857345635202,0.6572657521506626,0.4896373056994819,0.5053475935828877,0.49736842105263157,0.3118875657302197
KNN,0.7778566359119943,0.82151566819086,0.5840220385674931,0.5668449197860963,0.5753052917232022,0.42502900962558904
GaussianNB,0.694819020581973,0.807419463173939,0.45894428152492667,0.8368983957219251,0.5928030303030303,0.4244518964900018
RandomForest,0.7785663591199432,0.817131674804309,0.6061643835616438,0.4732620320855615,0.5315315315315315,0.3945277518083422
GradientBoosting,0.8062455642299503,0.8433620088351547,0.6735395189003437,0.5240641711229946,0.5894736842105263,0.4715203477372177
